"key","en","kr"
"outro_5","so first i need to brush my teeth...","그래서 먼저 이를 닦아야 한다..."
"outro_6","GOOD MORNING KATO! it's me the wizard of the underwater world! thank you for freeing us from the scary dragon! the legend of you will be kept forever in our souls.","굿모닝 카토! 수중 세계의 마법사야! 무서운 용으로부터 우리를 해방시켜줘서 고마워! 너의 전설은 우리 영혼에 영원히 간직될 거야."
"outro_7","THE LEGEND OF KATO!","카토의 전설!"
"outro_8","THE END","끝"
"tutorial_prompt","TUTORIAL?","튜토리얼?"
"are_you_sure","ARE YOU SURE?","정말 그만둘래요?"
"records_title","records","기록"
"records_tutorial","tutorial","튜토리얼"
"records_entrance","entrance","입구"
"records_depth","depth","깊이"
"records_ocean","ocean bed","해저"
"records_rooms","rooms unlocked","자물쇠가 채워지지 않은 방들"
"records_death","death count","사망 수"
"records_souls","souls collected","수집된 영혼들"
"records_monsters","monsters killed","죽은 괴물들"
"best_time","best time","최선의 시도"
"settings_title","settings","설정"
"settings_music","music","음악"
"settings_sound","sound","소리"
"tutorial_sign","slow motion activated in tutorial","튜토리얼에서 활성화되는 저속 모션"
"practice_sign","practice","연습 모드"
"selector_title","SELECT ITEMS TO BE ACTIVATED AT THIS LEVEL","이 수준에서 활성화할 항목 선택"
"selector_first","CLICK ITEM TO SELECT","선택할 항목 클릭"
"selector_boots","GIVES TRIPLE JUMP","트리플 점프 부여"
"selector_slow","GIVES SLOW MOTION JUMP","슬로 모션 점프 기능 제공"
"selector_shield","GIVES IMMUNITY TO PROJECTILES AND SPIKES","발사체 및 스파이크에 대한 내성 제공"
"selector_no_item","You don't have this item!","너는 이 아이템이 없어!"
"info_practice","IN PRACTICE MODE:$1. YOU WILL NOT RECEIVE DAMAGE$2. MONSTERS WILL APPEAR AGAIN$3. CAN NOT COLLECT SOULS$4. THERE WILL BE NO PROGRESS ON THE LEVELS$5. NO KEY NEEDED TO PLAY IN FURTHER LEVELS","연습 모드:$1. 당신은 피해를 입지 않을 것이다$2. 괴물들이 다시 나타날 것이다$3. 영혼을 모을 수 없음$4. 수준에는 진전이 없을 것$5. 추가 레벨에서 재생할 필요가 없는 키"
"info_keys","USE KEYS TO PLAY DEPTHS OR OCEAN BED. KEY WILL DISAPPEAR AFTER BEING USED. YOU CAN GET KEYS FROM A WIZARD IN GAME. THE HIGHER THE KEY TIER, THE MORE HP YOU WILL GET AT THE START.$JUST DRAG AND DROP IT TO USE", "키를 사용하여 깊이 또는 해양 침대를 재생하십시오. 키는 사용 후 사라진다. 게임에서 마법사로부터 키를 얻을 수 있다. 키 계층이 높을수록 시작 시 더 많은 HP를 얻을 수 있다.$그냥 끌어서 놓기만 하면 된다."
"store_1","ENCHANT ONE KEY'S TIER$MAX TIER IS 3","하나의 키 계층을 매료시키십시오$최대 계층 3"
"store_2","BUY 1-TIER KEY","1단계 키를 구입하다"
"store_3","THIS ITEM IS NOT AVAILABLE","이 항목을 사용할 수 없음"
"store_4","TIER","단계"
"store_5","NONE","없음"
"store_6","KEYS AVAILABLE:","사용 가능한 키:"
"store_7",GIVES TRIPLE JUMP. DURATION - 1 LEVEL. YOU HAVE ","트리플 점프를 할 수 있다. 지속시간 - 1 레벨. 당신은 가지고 있는 수는 - "
"store_8","GIVES SLOW MOTION JUMP. DURATION - 1 LEVEL. YOU HAVE ", "슬로 모션 점프 기능 제공. 지속시간 - 1 레벨. 당신은 가지고 있는 수는 - "
"store_9","GIVES IMMUNITY TO PROJECTILES AND SPIKES. DURATION - 1 LEVEL. YOU HAVE ", "발사체와 스파이크에 대한 내성을 부여한다. 지속시간 - 1 레벨. 당신은 가지고 있는 수는 - "
"store_10","DEPOSIT 1 SOUL TO THE WIZARD WHALE. YOU CAN SPEND DEPOSITED SOULS LATER. YOU HAVE ","마법사의 고래에게 영혼 1개를 맡겨라 나중에 영혼들을 보내도 돼 당신은 가지고 있는 수는 "
"store_11","LEAVE WIZARD WHALE","마법사 고래를 떠나다"
"revive","You died$REVIVE FOR 20 DEPOSITED SOULS?",""
"button_on","ON",""
"button_off","OFF",""
"button_go","GO",""
"button_back","BACK",""
"normal_mode","NORMAL MODE",""
"practice_mode","PRACTICE MODE",""
"button_store","STORE",""
"level_tutorial","TUTORIAL",""
"level_entrance","ENTRANCE",""
"level_depths","DEPTHS",""
"level_ocean_bed","OCEAN BED",""
"button_quit","QUIT",""
"daily","DAILY REWARD",""
"daily_not","NOT READY YET","아직 준비되지 않음"
"loading","loading",""
